Observation time UTC,Data Source (station level pressure),Mean sea level pressure [Hpa],Station level pressure,Data Source (mean sea level pressure)
2003-11-05T07:00:00Z,H,1026.4,1018.3,H
2003-11-05T08:00:00Z,H,1027,1018.9,H
2003-11-05T09:00:00Z,H,1027.5,1019.4,H
2003-11-05T10:00:00Z,H,1027.7,1019.6,H
2003-11-05T11:00:00Z,H,1027.6,1019.5,H
2003-11-05T12:00:00Z,H,1027.4,1019.3,H
2003-11-05T13:00:00Z,H,1026.9,1018.8,H
2003-11-05T14:00:00Z,H,1026.6,1018.5,H
2003-11-05T15:00:00Z,H,1026.4,1018.3,H
2003-11-05T16:00:00Z,H,1026.4,1018.3,H
2003-11-05T17:00:00Z,H,1026.9,1018.8,H
2003-11-05T18:00:00Z,H,1026.9,1018.8,H
2003-11-05T19:00:00Z,H,1027.3,1019.2,H
2003-11-05T20:00:00Z,H,1027.8,1019.8,H
2003-11-05T21:00:00Z,H,1027.6,1019.6,H
2003-11-05T22:00:00Z,H,1027.8,1019.8,H
2003-11-05T23:00:00Z,H,1027.4,1019.4,H
2003-11-06T00:00:00Z,H,1027.2,1019.2,H
2003-11-06T01:00:00Z,H,1026.8,1018.8,H
2003-11-06T02:00:00Z,H,1026.2,1018.3,H
2003-11-06T03:00:00Z,H,1025.9,1017.9,H
2003-11-06T04:00:00Z,H,1025.4,1017.5,H
2003-11-06T05:00:00Z,H,1025.7,1017.7,H
2003-11-06T06:00:00Z,H,1026.2,1018.2,H
2003-11-06T07:00:00Z,H,1026.4,1018.4,H
2003-11-06T08:00:00Z,H,1026.8,1018.7,H
2003-11-06T09:00:00Z,H,1027.2,1019.1,H
2003-11-06T10:00:00Z,H,1026.8,1018.7,H
2003-11-06T11:00:00Z,H,1027.1,1019,H
2003-11-06T12:00:00Z,H,1026.5,1018.4,H
2003-11-06T13:00:00Z,H,1026,1017.9,H
2003-11-06T14:00:00Z,H,1025.6,1017.5,H
2003-11-06T15:00:00Z,H,1025.3,1017.2,H
2003-11-06T16:00:00Z,H,1025.2,1017.1,H
2003-11-06T17:00:00Z,H,1025.4,1017.3,H
2003-11-06T18:00:00Z,H,1025.8,1017.7,H
2003-11-06T19:00:00Z,H,1026.1,1018.1,H
2003-11-06T20:00:00Z,H,1026.1,1018.1,H
2003-11-06T21:00:00Z,H,1025.4,1017.5,H
2003-11-06T22:00:00Z,H,1025.3,1017.4,H
2003-11-06T23:00:00Z,H,1025,1017.1,H
2003-11-07T00:00:00Z,H,1024.6,1016.7,H
2003-11-07T01:00:00Z,H,1024.4,1016.5,H
2003-11-07T02:00:00Z,H,1023.9,1016,H
2003-11-07T03:00:00Z,H,1023.3,1015.4,H
2003-11-07T04:00:00Z,H,1023.2,1015.3,H
2003-11-07T05:00:00Z,H,1023.1,1015.1,H
2003-11-07T06:00:00Z,H,1023.1,1015.2,H
2003-11-07T07:00:00Z,H,1023.2,1015.2,H
2003-11-07T08:00:00Z,H,1023.2,1015.2,H
2003-11-07T09:00:00Z,H,1023.3,1015.2,H
2003-11-07T10:00:00Z,H,1023.4,1015.3,H
2003-11-07T11:00:00Z,H,1023.2,1015.1,H
2003-11-07T12:00:00Z,H,1023.1,1015,H
2003-11-07T13:00:00Z,H,1022.8,1014.7,H
2003-11-07T14:00:00Z,H,1022.7,1014.6,H
2003-11-07T15:00:00Z,H,1022.4,1014.3,H
2003-11-07T16:00:00Z,H,1022.2,1014.1,H
2003-11-07T17:00:00Z,H,1022.4,1014.3,H
2003-11-07T18:00:00Z,H,1022.5,1014.5,H
2003-11-07T19:00:00Z,H,1022.7,1014.7,H
2003-11-07T20:00:00Z,H,1022.5,1014.6,H
2003-11-07T21:00:00Z,H,1022.5,1014.6,H
2003-11-07T22:00:00Z,H,1022.6,1014.7,H
2003-11-07T23:00:00Z,H,1022.3,1014.4,H
2003-11-08T00:00:00Z,H,1022,1014.1,H
2003-11-08T01:00:00Z,H,1021.6,1013.7,H
2003-11-08T02:00:00Z,H,1021,1013.1,H
2003-11-08T03:00:00Z,H,1020.6,1012.7,H
2003-11-08T04:00:00Z,H,1020.3,1012.4,H
2003-11-08T05:00:00Z,H,1020.6,1012.6,H
2003-11-08T06:00:00Z,H,1020.8,1012.8,H
2003-11-08T07:00:00Z,H,1021.2,1013.2,H
2003-11-08T08:00:00Z,H,1021.7,1013.7,H
2003-11-08T09:00:00Z,H,1022.3,1014.3,H
2003-11-08T10:00:00Z,H,1022.4,1014.4,H
2003-11-08T11:00:00Z,H,1022.4,1014.4,H
2003-11-08T12:00:00Z,H,1022.2,1014.2,H
2003-11-08T13:00:00Z,H,1022,1013.9,H
2003-11-08T14:00:00Z,H,1021.8,1013.7,H
2003-11-08T15:00:00Z,H,1021.8,1013.7,H
2003-11-08T16:00:00Z,H,1021.6,1013.5,H
2003-11-08T17:00:00Z,H,1022,1013.9,H
2003-11-08T18:00:00Z,H,1022.4,1014.3,H
2003-11-08T19:00:00Z,H,1022.7,1014.7,H
2003-11-08T20:00:00Z,H,1023,1015,H
2003-11-08T21:00:00Z,H,1022.9,1015,H
2003-11-08T22:00:00Z,H,1023,1015,H
2003-11-08T23:00:00Z,H,1022.9,1015,H
2003-11-09T00:00:00Z,H,1022.7,1014.8,H
2003-11-09T01:00:00Z,H,1022.5,1014.6,H
2003-11-09T02:00:00Z,H,1022.3,1014.4,H
2003-11-09T03:00:00Z,H,1021.8,1013.9,H
2003-11-09T04:00:00Z,H,1021.7,1013.8,H
2003-11-09T05:00:00Z,H,1021.7,1013.8,H
2003-11-09T06:00:00Z,H,1022.1,1014.1,H
2003-11-09T07:00:00Z,H,1022.6,1014.6,H
2003-11-09T08:00:00Z,H,1023.1,1015.1,H
2003-11-09T09:00:00Z,H,1023.6,1015.6,H
2003-11-09T10:00:00Z,H,1023.8,1015.7,H
2003-11-09T11:00:00Z,H,1023.8,1015.7,H
2003-11-09T12:00:00Z,H,1023.6,1015.5,H
2003-11-09T13:00:00Z,H,1023.1,1015,H
2003-11-09T14:00:00Z,H,1022.8,1014.7,H
2003-11-09T15:00:00Z,H,1022.6,1014.5,H
2003-11-09T16:00:00Z,H,1022.3,1014.2,H
2003-11-09T17:00:00Z,H,1022.4,1014.3,H
2003-11-09T18:00:00Z,H,1022.6,1014.5,H
2003-11-09T19:00:00Z,H,1022.9,1014.8,H
2003-11-09T20:00:00Z,H,1022.8,1014.8,H
2003-11-09T21:00:00Z,H,1022.7,1014.8,H
2003-11-09T22:00:00Z,H,1022.8,1014.9,H
2003-11-09T23:00:00Z,H,1022.5,1014.6,H
2003-11-10T00:00:00Z,H,1022.4,1014.5,H
2003-11-10T01:00:00Z,H,1022.2,1014.3,H
2003-11-10T02:00:00Z,H,1022.1,1014.2,H
2003-11-10T03:00:00Z,H,1021.7,1013.8,H
2003-11-10T04:00:00Z,H,1021.4,1013.5,H
2003-11-10T05:00:00Z,H,1021.5,1013.5,H
2003-11-10T06:00:00Z,H,1021.7,1013.7,H
2003-11-10T07:00:00Z,H,1021.9,1013.9,H
2003-11-10T08:00:00Z,H,1022.4,1014.4,H
2003-11-10T09:00:00Z,H,1022.7,1014.7,H
2003-11-10T10:00:00Z,H,1022.9,1014.9,H
2003-11-10T11:00:00Z,H,1022.7,1014.7,H
2003-11-10T12:00:00Z,H,1022.3,1014.3,H
2003-11-10T13:00:00Z,H,1021.9,1013.9,H
2003-11-10T14:00:00Z,H,1021.4,1013.4,H
2003-11-10T15:00:00Z,H,1021.1,1013.1,H
2003-11-10T16:00:00Z,H,1021,1013,H
2003-11-10T17:00:00Z,H,1021,1013,H
2003-11-10T18:00:00Z,H,1021.3,1013.3,H
2003-11-10T19:00:00Z,H,1021.4,1013.4,H
2003-11-10T20:00:00Z,H,1021.5,1013.5,H
2003-11-10T21:00:00Z,H,1021.4,1013.4,H
2003-11-10T22:00:00Z,H,1021.3,1013.4,H
2003-11-10T23:00:00Z,H,1020.9,1013,H
2003-11-11T00:00:00Z,H,1020.8,1012.9,H
2003-11-11T01:00:00Z,H,1020.6,1012.7,H
2003-11-11T02:00:00Z,H,1020.1,1012.2,H
2003-11-11T03:00:00Z,H,1019.7,1011.8,H
2003-11-11T04:00:00Z,H,1019.4,1011.5,H
2003-11-11T05:00:00Z,H,1019.2,1011.3,H
2003-11-11T06:00:00Z,H,1019.4,1011.5,H
2003-11-11T07:00:00Z,H,1019.7,1011.7,H
2003-11-11T08:00:00Z,H,1019.9,1011.9,H
2003-11-11T09:00:00Z,H,1020.1,1012.1,H
2003-11-11T10:00:00Z,H,1019.8,1011.8,H
2003-11-11T11:00:00Z,H,1019.7,1011.7,H
2003-11-11T12:00:00Z,H,1019.5,1011.5,H
2003-11-11T13:00:00Z,H,1019.1,1011.1,H
2003-11-11T14:00:00Z,H,1018.6,1010.7,H
2003-11-11T15:00:00Z,H,1018.2,1010.3,H
2003-11-11T16:00:00Z,H,1017.9,1010,H
2003-11-11T17:00:00Z,H,1017.8,1009.9,H
2003-11-11T18:00:00Z,H,1017.8,1009.9,H
2003-11-11T19:00:00Z,H,1017.8,1009.9,H
2003-11-11T20:00:00Z,H,1018,1010.1,H
2003-11-11T21:00:00Z,H,1018,1010.1,H
2003-11-11T22:00:00Z,H,1017.8,1009.9,H
2003-11-11T23:00:00Z,H,1017.6,1009.7,H
2003-11-12T00:00:00Z,H,1017.1,1009.3,H
2003-11-12T01:00:00Z,H,1016.9,1009.1,H
2003-11-12T02:00:00Z,H,1016.7,1008.9,H
2003-11-12T03:00:00Z,H,1016.3,1008.5,H
2003-11-12T04:00:00Z,H,1015.8,1008,H
2003-11-12T05:00:00Z,H,1015.3,1007.5,H
2003-11-12T06:00:00Z,H,1015.1,1007.2,H
2003-11-12T07:00:00Z,H,1015.1,1007.2,H
2003-11-12T08:00:00Z,H,1015.1,1007.2,H
2003-11-12T09:00:00Z,H,1015.3,1007.4,H
2003-11-12T10:00:00Z,H,1015.2,1007.3,H
2003-11-12T11:00:00Z,H,1014.8,1006.9,H
2003-11-12T12:00:00Z,H,1014.2,1006.3,H
2003-11-12T13:00:00Z,H,1013.4,1005.5,H
2003-11-12T14:00:00Z,H,1013,1005,H
2003-11-12T15:00:00Z,H,1011.8,1003.8,H
2003-11-12T16:00:00Z,H,1011.3,1003.3,H
2003-11-12T17:00:00Z,H,1011.1,1003.1,H
2003-11-12T18:00:00Z,H,1010.8,1002.9,H
2003-11-12T19:00:00Z,H,1011.1,1003.2,H
2003-11-12T20:00:00Z,H,1010.4,1002.6,H
2003-11-12T21:00:00Z,H,1010.1,1002.3,H
2003-11-12T22:00:00Z,H,1009.5,1001.7,H
2003-11-12T23:00:00Z,H,1009.2,1001.4,H
2003-11-13T00:00:00Z,H,1008.4,1000.6,H
2003-11-13T01:00:00Z,H,1008.4,1000.6,H
2003-11-13T02:00:00Z,H,1008.3,1000.4,H
2003-11-13T03:00:00Z,H,1007.7,999.9,H
2003-11-13T04:00:00Z,H,1008,1000.2,H
2003-11-13T05:00:00Z,H,1007.9,1000.1,H
2003-11-13T06:00:00Z,H,1008.4,1000.5,H
2003-11-13T07:00:00Z,H,1008.7,1000.8,H
2003-11-13T08:00:00Z,H,1009.3,1001.4,H
2003-11-13T09:00:00Z,H,1010.1,1002.2,H
2003-11-13T10:00:00Z,H,1010.3,1002.4,H
2003-11-13T11:00:00Z,H,1010.6,1002.6,H
2003-11-13T12:00:00Z,H,1011,1003,H
2003-11-13T13:00:00Z,H,1010.7,1002.7,H
2003-11-13T14:00:00Z,H,1010.7,1002.7,H
2003-11-13T15:00:00Z,H,1011,1003,H
2003-11-13T16:00:00Z,H,1011.5,1003.5,H
2003-11-13T17:00:00Z,H,1011.8,1003.8,H
2003-11-13T18:00:00Z,H,1012.4,1004.4,H
2003-11-13T19:00:00Z,H,1012.7,1004.7,H
2003-11-13T20:00:00Z,H,1013.5,1005.6,H
2003-11-13T21:00:00Z,H,1014,1006,H
2003-11-13T22:00:00Z,H,1014,1006.1,H
2003-11-13T23:00:00Z,H,1014.3,1006.4,H
2003-11-14T00:00:00Z,H,1014.1,1006.2,H
2003-11-14T01:00:00Z,H,1014.4,1006.5,H
2003-11-14T02:00:00Z,H,1014.5,1006.6,H
2003-11-14T03:00:00Z,H,1014.5,1006.6,H
2003-11-14T04:00:00Z,H,1014.5,1006.6,H
2003-11-14T05:00:00Z,H,1014.8,1006.9,H
2003-11-14T06:00:00Z,H,1015.4,1007.4,H
2003-11-14T07:00:00Z,H,1016.1,1008.1,H
2003-11-14T08:00:00Z,H,1016.6,1008.6,H
2003-11-14T09:00:00Z,H,1017.1,1009.1,H
2003-11-14T10:00:00Z,H,1017.2,1009.2,H
2003-11-14T11:00:00Z,H,1017.1,1009.1,H
2003-11-14T12:00:00Z,H,1016.9,1008.9,H
2003-11-14T13:00:00Z,H,1016.5,1008.5,H
2003-11-14T14:00:00Z,H,1016.5,1008.5,H
2003-11-14T15:00:00Z,H,1016.4,1008.4,H
2003-11-14T16:00:00Z,H,1016.2,1008.2,H
2003-11-14T17:00:00Z,H,1016.4,1008.4,H
2003-11-14T18:00:00Z,H,1016.6,1008.6,H
2003-11-14T19:00:00Z,H,1016.9,1008.9,H
2003-11-14T20:00:00Z,H,1017.3,1009.3,H
2003-11-14T21:00:00Z,H,1016.7,1008.8,H
2003-11-14T22:00:00Z,H,1017.1,1009.2,H
2003-11-14T23:00:00Z,H,1017.4,1009.5,H
2003-11-15T00:00:00Z,H,1016.8,1008.9,H
2003-11-15T01:00:00Z,H,1016.5,1008.6,H
2003-11-15T02:00:00Z,H,1016,1008.1,H
2003-11-15T03:00:00Z,H,1015.9,1008,H
2003-11-15T04:00:00Z,H,1015.4,1007.5,H
2003-11-15T05:00:00Z,H,1015.4,1007.5,H
2003-11-15T06:00:00Z,H,1015.3,1007.4,H
2003-11-15T07:00:00Z,H,1015.5,1007.6,H
2003-11-15T08:00:00Z,H,1015.5,1007.6,H
2003-11-15T09:00:00Z,H,1015.8,1007.9,H
2003-11-15T10:00:00Z,H,1016.1,1008.2,H
2003-11-15T11:00:00Z,H,1016.2,1008.3,H
2003-11-15T12:00:00Z,H,1016.5,1008.6,H
2003-11-15T13:00:00Z,H,1016.4,1008.5,H
2003-11-15T14:00:00Z,H,1016.4,1008.5,H
2003-11-15T15:00:00Z,H,1016.3,1008.4,H
2003-11-15T16:00:00Z,H,1016.4,1008.5,H
2003-11-15T17:00:00Z,H,1017.2,1009.3,H
2003-11-15T18:00:00Z,H,1017.6,1009.7,H
2003-11-15T19:00:00Z,H,1018.2,1010.3,H
2003-11-15T20:00:00Z,H,1018.6,1010.7,H
2003-11-15T21:00:00Z,H,1018.5,1010.6,H
2003-11-15T22:00:00Z,H,1018.3,1010.4,H
2003-11-15T23:00:00Z,H,1018.8,1011,H
2003-11-16T00:00:00Z,H,1018.6,1010.8,H
2003-11-16T01:00:00Z,H,1018.6,1010.8,H
2003-11-16T02:00:00Z,H,1018.6,1010.8,H
2003-11-16T03:00:00Z,H,1018.2,1010.4,H
2003-11-16T04:00:00Z,H,1018.4,1010.6,H
2003-11-16T05:00:00Z,H,1018.2,1010.4,H
2003-11-16T06:00:00Z,H,1018.8,1010.9,H
2003-11-16T07:00:00Z,H,1019.3,1011.4,H
2003-11-16T08:00:00Z,H,1019.7,1011.8,H
2003-11-16T09:00:00Z,H,1020.3,1012.4,H
2003-11-16T10:00:00Z,H,1020.1,1012.2,H
2003-11-16T11:00:00Z,H,1020,1012.1,H
2003-11-16T12:00:00Z,H,1019.7,1011.8,H
2003-11-16T13:00:00Z,H,1019.6,1011.7,H
2003-11-16T14:00:00Z,H,1019.4,1011.5,H
2003-11-16T15:00:00Z,H,1018.9,1011,H
2003-11-16T16:00:00Z,H,1019.2,1011.3,H
2003-11-16T17:00:00Z,H,1019.6,1011.7,H
2003-11-16T18:00:00Z,H,1020,1012.1,H
2003-11-16T19:00:00Z,H,1020.5,1012.6,H
2003-11-16T20:00:00Z,H,1020.4,1012.5,H
2003-11-16T21:00:00Z,H,1020.4,1012.6,H
2003-11-16T22:00:00Z,H,1020.5,1012.7,H
2003-11-16T23:00:00Z,H,1020.6,1012.8,H
2003-11-17T00:00:00Z,H,1020.4,1012.6,H
2003-11-17T01:00:00Z,H,1020.2,1012.4,H
2003-11-17T02:00:00Z,H,1020.1,1012.3,H
2003-11-17T03:00:00Z,H,1019.4,1011.6,H
2003-11-17T04:00:00Z,H,1019.9,1012,H
2003-11-17T05:00:00Z,H,1020.3,1012.3,H
2003-11-17T06:00:00Z,H,1021,1013,H
2003-11-17T07:00:00Z,H,1021.6,1013.6,H
2003-11-17T08:00:00Z,H,1022.2,1014.2,H
2003-11-17T09:00:00Z,H,1023.2,1015.2,H
2003-11-17T10:00:00Z,H,1023.6,1015.6,H
2003-11-17T11:00:00Z,H,1023.9,1015.9,H
2003-11-17T12:00:00Z,H,1024.2,1016.1,H
2003-11-17T13:00:00Z,H,1023.9,1015.8,H
2003-11-17T14:00:00Z,H,1024,1015.9,H
2003-11-17T15:00:00Z,H,1023.9,1015.8,H
2003-11-17T16:00:00Z,H,1024.1,1016,H
2003-11-17T17:00:00Z,H,1024.7,1016.6,H
2003-11-17T18:00:00Z,H,1025.1,1017,H
2003-11-17T19:00:00Z,H,1025.7,1017.7,H
2003-11-17T20:00:00Z,H,1026.1,1018.1,H
2003-11-17T21:00:00Z,H,1026,1018.1,H
2003-11-17T22:00:00Z,H,1026,1018.1,H
2003-11-17T23:00:00Z,H,1026,1018.1,H
2003-11-18T00:00:00Z,H,1025.8,1017.9,H
2003-11-18T01:00:00Z,H,1025.6,1017.7,H
2003-11-18T02:00:00Z,H,1025.4,1017.5,H
2003-11-18T03:00:00Z,H,1025.5,1017.5,H
2003-11-18T04:00:00Z,H,1025.7,1017.7,H
2003-11-18T05:00:00Z,H,1025.7,1017.8,H
2003-11-18T06:00:00Z,H,1026.1,1018.2,H
2003-11-18T07:00:00Z,H,1026.8,1018.8,H
2003-11-18T08:00:00Z,H,1027.4,1019.3,H
2003-11-18T09:00:00Z,H,1028.4,1020.3,H
